Country,1990,2000,2005,2010,2015,2017
Australia,3.1,4.7,3.7,3.8,4.3,4.0
Austria,11.3,11.9,11.9,13.0,13.3,13.0
Belgium,9.0,8.8,8.9,9.9,10.5,10.5
Canada,4.2,4.2,4.0,4.3,4.7,4.8
Chile,8.0,5.0,3.7,3.4,2.9,2.8
Colombia,,,,5.5,5.9,5.9
Costa Rica,,,,,,4.9
Czech Republic,5.5,6.8,6.6,8.0,8.0,7.7
Denmark,6.1,6.3,6.5,7.1,8.1,8.0
Estonia,,6.0,5.3,7.5,6.9,6.5
Finland,7.2,7.4,8.0,9.8,11.5,11.8
France,10.4,11.5,12.0,13.2,13.8,13.6
Germany,9.5,10.9,11.2,10.7,10.1,10.2
Greece,9.5,10.2,11.4,14.2,16.8,15.5
Hungary,,7.4,8.3,9.6,9.1,8.5
Iceland,2.2,2.1,1.9,1.5,2.0,2.6
Ireland,4.8,2.9,3.1,4.8,3.6,3.7
Israel,,4.5,4.7,4.8,4.7,4.7
Italy,11.3,13.5,13.7,15.4,16.2,15.6
Japan,4.7,7.0,8.1,9.6,9.4,9.4
Korea,0.7,1.3,1.4,2.0,2.8,2.8
Latvia,,8.7,5.5,9.3,7.0,6.8
Lithuania,,7.1,5.7,7.7,6.7,6.2
Luxembourg,7.8,7.1,7.8,8.0,8.4,8.5
Mexico,0.4,0.8,1.0,1.6,2.2,2.7
Netherlands,6.2,4.6,4.6,4.9,5.3,5.2
New Zealand,7.2,4.9,4.2,4.6,5.0,4.9
Norway,5.5,4.7,4.8,5.2,6.6,6.9
Poland,5.0,10.5,11.3,11.1,11.1,10.6
Portugal,4.8,7.8,10.0,12.0,13.3,12.7
Slovak Republic,,6.2,6.0,6.7,7.2,7.3
Slovenia,,10.4,9.8,10.9,11.1,10.4
Spain,7.7,8.4,8.0,9.2,11.0,10.9
Sweden,7.2,6.8,7.2,7.2,7.1,7.2
Switzerland,5.2,6.1,6.2,6.2,6.6,6.7
Turkey,0.7,3.9,6.0,7.4,7.1,7.4
United Kingdom,4.5,4.8,5.0,6.2,6.1,5.6
United States,5.8,5.7,5.7,6.6,7.0,7.1
