m_high,m_low,a_coh_high,a_coh_low,y_coh_high,y_coh_low,l_coh_high,l_coh_low,c_coh_high,c_coh_low
0.41300000000000003,0.587,0.0,0.0,0.2972912452471944,0.4703325941391575,0.23014897124215666,0.38522157527180034,0.24715819649872142,0.3629563348019734
0.37151023594907123,0.5280302869300357,0.07058728989497069,0.179734180838328,0.5233514570081438,0.48970846980359956,0.29318556207077245,0.35715890818598434,0.31958998797563815,0.4152163719833752
0.3341885119005679,0.4749846404010492,0.21434597564599725,0.4014577380107205,0.5885424231035942,0.4731562944263848,0.28123157657645487,0.31783127511645703,0.37080383760303676,0.46233872513733065
0.30061610873522754,0.4272679317859044,0.401863356952546,0.6567393651277715,0.5422609597592462,0.4019155954059479,0.23644202308220003,0.2589328739537594,0.40871752689726903,0.49791257769913433
0.27041637163756904,0.38434481876816706,0.6078765435158434,0.922842289843888,0.6132715037852842,0.354096578902746,0.22698840391443778,0.21028718275875416,0.47097388399911,0.5433063167490162
0.24325048433792976,0.3457337392405926,0.8772112802822204,1.2156577903317234,0.4022685156836894,0.2814188668927892,0.13786841500509947,0.1520151718476564,0.48717525063867156,0.5851526113490303
0.21656634866046864,0.3078073769096733,1.1381398040362145,1.5282470415355869,0.32760156493959264,0.2054119398819276,0.09242908699293993,0.09260247010108848,0.53026111237657,0.6280411219707822
0.19127517271228092,0.2718608386976002,1.236312075555409,1.7107621288865673,0.30743154845767134,0.13626026904150562,0.07605732051289417,0.04790850278761343,0.5901458910710816,0.6779703493036946
0.16701905943028544,0.23738544282222165,1.2999553405711113,1.8553234164244519,0.05453156128869461,0.3440914965030237,0.011025983581541207,0.11107830482386555,0.6005120503354171,0.8403200261898902
0.1435255580600771,0.20399395298127176,1.2425567723662763,2.0763967600881896,0.0,0.0,0.0,0.0,0.6615514556427359,0.7952520043507832
0.12060911811591161,0.1714226448766104,1.301116407749345,2.127060265590723,0.0,0.0,0.0,0.0,0.7388575857238224,0.8882665953971404
0.09790249773332636,0.13914955488973985,1.2974463856812075,2.0935715780486945,0.0,0.0,0.0,0.0,0.8149462416715284,0.9798290647449037
0.07367129232903727,0.10470956076790522,1.2037934740975307,1.9381751060909846,0.0,0.0,0.0,0.0,0.8746733204868263,1.0517046633608311
0.04708385246634193,0.06692063292431646,0.996964346635987,1.6265724549108211,0.0,0.0,0.0,0.0,0.8850442776508229,1.064273609165061
0.022307489952288588,0.031705802910395625,0.6811692098756773,1.154349367163708,0.0,0.0,0.0,0.0,0.8039030123257385,0.966653054400839
0.006256692417627479,0.008892683896240504,0.3114925671100533,0.5740468356111086,0.0,0.0,0.0,0.0,0.6043837198341889,0.7268003416960234
